employee_id,full_name,department,manager_id,hire_date,salary,metadata
1,Employee 001,operations,,2024-07-09T00:00:00+00:00,113731.55,"{""level"": 2, ""remote"": false}"
2,Employee 002,engineering,,2024-10-24T00:00:00+00:00,96125.05,"{""level"": 2, ""remote"": true}"
3,Employee 003,sales,,2019-12-19T00:00:00+00:00,80226.92,"{""level"": 1, ""remote"": true}"
4,Employee 004,support,,2018-05-26T00:00:00+00:00,86203.86,"{""level"": 1, ""remote"": false}"
5,Employee 005,finance,,2020-02-28T00:00:00+00:00,117512.78,"{""level"": 2, ""remote"": true}"
6,Employee 006,operations,1,2019-11-17T00:00:00+00:00,66725.67,"{""level"": 2, ""remote"": false}"
7,Employee 007,sales,4,2022-01-23T00:00:00+00:00,66276.04,"{""level"": 4, ""remote"": true}"
8,Employee 008,operations,4,2023-11-07T00:00:00+00:00,63926.57,"{""level"": 7, ""remote"": true}"
9,Employee 009,sales,7,2020-03-04T00:00:00+00:00,146014.23,"{""level"": 3, ""remote"": true}"
10,Employee 010,operations,2,2020-01-01T00:00:00+00:00,87720.64,"{""level"": 1, ""remote"": true}"
11,Employee 011,support,2,2018-05-03T00:00:00+00:00,102786.7,"{""level"": 1, ""remote"": false}"
12,Employee 012,support,7,2023-02-12T00:00:00+00:00,83892.26,"{""level"": 3, ""remote"": true}"
13,Employee 013,support,3,2022-10-10T00:00:00+00:00,75263.85,"{""level"": 2, ""remote"": true}"
14,Employee 014,sales,12,2024-02-13T00:00:00+00:00,141566.7,"{""level"": 5, ""remote"": true}"
15,Employee 015,engineering,6,2022-12-09T00:00:00+00:00,151624.45,"{""level"": 1, ""remote"": false}"
16,Employee 016,engineering,,2018-03-13T00:00:00+00:00,162442.22,"{""level"": 2, ""remote"": true}"
17,Employee 017,operations,5,2018-09-21T00:00:00+00:00,122347.4,"{""level"": 1, ""remote"": true}"
18,Employee 018,engineering,,2020-05-29T00:00:00+00:00,138164.7,"{""level"": 5, ""remote"": true}"
19,Employee 019,finance,14,2023-06-23T00:00:00+00:00,108100.17,"{""level"": 7, ""remote"": false}"
20,Employee 020,finance,1,2022-10-29T00:00:00+00:00,139151.82,"{""level"": 4, ""remote"": true}"
21,Employee 021,sales,,2023-10-16T00:00:00+00:00,67135.3,"{""level"": 5, ""remote"": true}"
22,Employee 022,operations,,2019-08-08T00:00:00+00:00,155376.66,"{""level"": 3, ""remote"": false}"
23,Employee 023,finance,,2022-05-18T00:00:00+00:00,48263.32,"{""level"": 3, ""remote"": false}"
24,Employee 024,sales,,2023-04-19T00:00:00+00:00,75300.32,"{""level"": 6, ""remote"": true}"
25,Employee 025,sales,16,2021-05-18T00:00:00+00:00,114950.89,"{""level"": 3, ""remote"": true}"
